carat,cut,color,clarity,depth,table,price,x,y,z
0.24,2,3,6,62.1,56.0,559,3.97,4.0,2.47
0.58,4,2,7,60.0,57.0,2201,5.44,5.42,3.26
0.4,2,1,7,62.1,55.0,1238,4.76,4.74,2.95
0.43,3,1,7,60.8,57.0,1304,4.92,4.89,2.98
1.55,2,1,3,62.3,55.0,6901,7.44,7.37,4.61
1.0,0,1,3,55.4,62.0,3011,6.63,6.59,3.66
0.51,2,2,4,60.2,56.0,1765,5.22,5.24,3.15
0.52,2,0,5,62.0,56.0,1679,5.17,5.19,3.21
0.62,3,1,5,60.0,59.0,2102,5.58,5.56,3.34
1.14,2,4,2,60.3,57.0,4789,6.79,6.85,4.11
0.4,2,0,3,62.8,56.0,855,4.73,4.7,2.96
1.83,4,1,3,62.8,56.0,13134,7.76,7.82,4.89
0.6,0,2,2,55.3,63.0,1367,5.67,5.61,3.12
0.7,4,2,2,63.5,56.0,2401,5.58,5.66,3.57
0.53,1,4,1,61.2,65.0,1440,5.16,5.27,3.19
1.55,2,5,4,61.2,55.0,10286,7.49,7.47,4.58
0.98,0,2,3,61.6,66.0,2958,6.46,6.24,3.92
0.4,2,1,6,62.6,56.0,1397,4.73,4.7,2.95
1.5,4,2,2,62.8,56.0,9904,7.26,7.33,4.58
0.35,4,5,4,60.7,62.0,552,4.53,4.59,2.77
2.07,3,5,5,61.2,58.0,18193,8.18,8.2,5.01
0.4,3,1,2,60.9,60.0,945,4.77,4.75,2.9
0.31,2,2,5,61.9,55.0,625,4.31,4.35,2.68
0.3,2,4,7,61.7,54.2,631,4.32,4.35,2.67
0.91,2,4,3,60.6,57.0,3854,6.3,6.26,3.81
0.53,2,1,2,61.4,56.0,1415,5.21,5.24,3.21
0.34,2,1,4,60.8,57.0,1033,4.53,4.49,2.74
2.02,2,2,3,62.7,57.0,13453,8.07,7.93,5.03
1.04,2,0,4,59.1,56.0,8341,6.65,6.59,3.91
0.23,2,2,5,61.8,55.0,493,3.93,3.96,2.43
1.01,2,2,3,62.5,55.0,4416,6.39,6.4,4.0
0.54,3,1,2,61.4,60.0,1422,5.21,5.25,3.21
2.01,4,6,2,63.4,57.0,11566,7.97,7.89,5.03
0.51,1,3,7,63.3,58.0,1800,5.04,5.07,3.2
0.5,4,2,7,62.8,55.0,2153,5.0,5.13,3.18
0.3,2,6,4,62.6,53.0,373,4.28,4.32,2.69
0.3,2,2,5,60.9,56.0,776,4.35,4.32,2.64
0.5,4,3,6,63.3,53.0,1885,5.06,5.09,3.21
0.51,4,3,7,63.1,58.0,1974,5.11,5.07,3.21
2.09,3,4,5,62.2,58.0,18443,8.17,8.12,5.06
0.62,2,3,4,60.7,55.0,2206,5.55,5.59,3.38
0.53,4,0,2,60.0,59.8,1724,5.25,5.26,3.15
0.4,3,1,3,61.4,59.0,855,4.75,4.7,2.9
2.0,4,4,2,62.2,57.0,15745,7.97,8.08,4.99
0.7,2,1,4,62.7,57.0,3016,5.65,5.7,3.56
0.42,1,2,2,63.1,56.0,722,4.79,4.82,3.03
1.6,2,2,2,61.0,57.0,12871,7.54,7.6,4.62
1.5,3,2,2,61.4,59.0,11588,7.34,7.31,4.5
2.52,1,3,3,63.7,59.0,17608,8.57,8.52,5.44
1.35,4,4,5,62.3,57.0,7549,7.06,7.12,4.42
0.33,2,3,1,61.9,56.0,925,4.43,4.47,2.75
1.41,1,4,5,63.8,60.0,9088,7.04,7.12,4.52
0.78,2,0,3,61.4,57.0,3454,5.91,5.94,3.64
1.01,4,3,4,58.8,58.0,6777,6.52,6.61,3.86
0.9,4,4,7,61.8,60.0,4617,6.11,6.15,3.79
1.23,2,6,5,61.2,57.0,6015,6.93,6.88,4.23
0.9,3,3,5,62.0,60.0,4137,6.19,6.14,3.82
0.31,4,5,5,62.3,57.0,435,4.32,4.35,2.7
0.91,1,2,2,63.7,58.0,3924,6.09,6.02,3.86
0.56,2,2,5,60.8,56.0,1778,5.33,5.3,3.23
0.91,3,1,0,59.6,59.0,2464,6.29,6.32,3.76
0.3,4,1,7,62.4,57.0,759,4.28,4.31,2.68
2.18,3,6,5,60.1,58.0,15465,8.46,8.41,5.07
1.06,3,5,3,61.5,57.0,2968,6.57,6.49,4.02
0.3,2,2,6,62.1,55.0,868,4.31,4.32,2.68
0.32,2,1,2,62.2,54.0,516,4.38,4.4,2.73
0.68,3,2,7,61.7,57.0,2854,5.67,5.64,3.49
0.53,2,3,4,62.7,55.0,1813,5.18,5.16,3.24
0.51,2,3,4,62.7,56.0,1656,5.08,5.1,3.19
0.64,2,2,7,60.9,56.0,3217,5.57,5.59,3.4
1.05,2,6,3,61.3,56.0,4364,6.56,6.59,4.03
0.33,4,4,5,62.8,59.0,521,4.38,4.44,2.77
1.07,3,3,3,62.1,59.0,4584,6.54,6.48,4.04
2.02,3,1,3,59.9,58.0,13677,8.18,8.14,4.89
0.53,2,2,3,63.0,54.0,1279,5.24,5.19,3.29
0.39,3,1,4,59.6,60.0,1026,4.72,4.75,2.82
2.1,3,5,5,60.7,61.0,14394,8.28,8.27,5.02
0.7,3,2,4,61.7,60.0,2669,5.67,5.64,3.49
1.51,4,3,2,61.5,54.0,10947,7.35,7.42,4.54
1.51,3,1,3,60.6,59.0,10570,7.47,7.41,4.51
0.4,3,0,3,61.9,58.0,855,4.73,4.71,2.92
0.3,2,3,6,61.4,56.0,737,4.32,4.34,2.66
0.5,2,1,4,61.9,54.1,1759,5.09,5.15,3.17
0.33,1,3,1,57.9,60.0,1052,4.57,4.55,2.64
1.14,3,6,3,60.4,59.0,3861,6.8,6.74,4.09
0.41,2,1,4,62.7,57.0,1079,4.72,4.76,2.97
0.28,3,1,7,60.1,59.0,646,4.22,4.26,2.55
0.78,2,2,3,59.7,57.0,2431,6.01,5.98,3.58
1.7,3,5,5,62.2,58.0,11888,7.65,7.6,4.74
0.6,2,3,1,62.0,55.0,2570,5.39,5.44,3.36
1.09,2,1,2,61.8,55.0,6849,6.65,6.58,4.09
0.81,2,1,3,61.4,57.0,2673,6.0,5.97,3.68
0.5,4,3,4,61.9,59.0,1603,5.06,5.08,3.14
0.9,2,6,2,62.6,54.0,3102,6.16,6.23,3.88
1.01,4,1,2,62.8,57.0,5411,6.35,6.39,4.0
0.23,4,1,6,61.1,60.0,530,3.95,4.01,2.43
0.41,3,1,3,61.7,58.0,953,4.8,4.76,2.95
0.42,2,3,7,62.4,55.0,1103,4.82,4.79,3.0
1.03,0,3,2,64.7,63.0,4424,6.36,6.31,4.1
0.5,1,3,7,63.8,56.0,1715,5.03,5.06,3.22
0.35,2,1,5,63.5,54.0,722,4.48,4.43,2.83
1.01,4,3,2,63.3,57.0,4185,6.37,6.35,4.02
0.54,1,2,4,63.7,55.0,2090,5.16,5.11,3.27
1.09,2,2,3,62.0,56.0,5306,6.62,6.58,4.09
0.31,1,0,3,63.9,57.0,462,4.28,4.33,2.75
1.55,3,0,5,61.5,58.0,15991,7.48,7.51,4.61
0.31,2,0,2,61.7,55.0,565,4.37,4.41,2.71
0.41,2,1,5,62.1,56.0,935,4.74,4.76,2.95
0.42,4,4,7,62.9,56.0,921,4.75,4.79,3.0
0.25,2,3,4,62.3,54.0,438,4.05,4.11,2.54
1.12,3,5,2,60.8,57.0,4704,6.76,6.7,4.09
0.33,2,1,5,62.3,57.0,723,4.37,4.43,2.74
0.44,1,0,6,59.2,57.0,2250,4.96,5.0,2.95
0.7,4,3,5,63.4,58.0,2338,5.63,5.57,3.55
1.0,1,0,2,65.1,54.0,4786,6.23,6.27,4.07
1.01,3,4,5,61.5,59.0,5303,6.48,6.49,3.99
1.7,2,4,0,62.6,54.0,7197,7.63,7.58,4.77
1.0,1,5,3,63.9,60.0,3465,6.26,6.3,4.01
0.7,2,3,7,61.6,57.0,3725,5.74,5.71,3.53
0.58,2,2,7,62.2,56.0,2509,5.32,5.35,3.32
1.11,2,4,2,61.6,56.0,5456,6.69,6.65,4.11
1.74,4,3,5,62.9,57.0,16169,7.64,7.68,4.82
1.02,2,2,7,62.3,58.0,9598,6.42,6.45,4.01
1.6,2,5,2,62.0,55.0,9376,7.53,7.59,4.69
0.24,2,2,5,62.2,57.0,419,3.96,4.01,2.48
0.42,1,5,6,59.2,61.0,867,4.88,4.91,2.9
0.3,2,4,4,62.5,56.0,675,4.27,4.24,2.66
0.37,2,3,1,62.4,56.0,1033,4.6,4.64,2.88
0.42,1,4,2,63.2,58.0,700,4.77,4.79,3.02
1.0,1,1,3,63.5,54.0,4400,6.35,6.41,4.05
0.24,4,1,7,62.5,58.0,485,3.96,4.01,2.49
1.02,2,6,5,62.0,56.0,4485,6.42,6.45,3.99
0.4,2,3,6,62.4,54.0,1043,4.73,4.75,2.96
0.32,4,2,5,63.0,57.0,602,4.33,4.37,2.74
0.31,2,1,1,61.9,56.0,1060,4.35,4.37,2.7
0.32,2,4,5,62.1,56.0,505,4.37,4.42,2.73
0.43,2,2,7,61.9,56.0,1250,4.87,4.82,3.0
1.06,3,2,2,61.9,59.0,4155,6.57,6.52,4.05
0.57,4,3,2,61.1,57.0,1433,5.32,5.35,3.26
1.0,3,4,0,60.4,61.0,1932,6.39,6.32,3.84
1.0,3,1,4,60.4,59.0,7744,6.51,6.54,3.94
0.8,0,3,3,67.1,56.0,2400,5.76,5.73,3.85
0.31,4,3,4,63.1,59.0,802,4.29,4.27,2.7
2.03,3,4,0,59.4,59.0,7421,8.31,8.22,4.91
1.11,2,4,3,62.7,57.0,4578,6.59,6.66,4.14
0.25,4,3,6,61.7,56.0,525,4.07,4.09,2.51
1.02,3,1,2,62.8,58.0,5429,6.45,6.39,4.03
1.54,3,2,2,60.9,59.0,11897,7.56,7.46,4.57
0.33,2,0,5,62.1,55.0,781,4.43,4.46,2.76
0.39,3,2,6,62.7,57.0,1290,4.68,4.64,2.92
1.27,2,5,4,62.8,57.0,6396,6.86,6.89,4.32
0.56,3,1,5,61.4,61.0,1915,5.31,5.28,3.25
2.01,2,4,3,60.1,57.0,15562,8.24,8.2,4.94
0.33,2,3,1,61.9,54.0,1052,4.46,4.42,2.75
0.72,3,0,5,61.0,59.0,2721,5.77,5.74,3.51
0.33,2,1,5,62.3,56.0,723,4.46,4.47,2.78
0.81,2,5,5,61.8,56.0,2939,6.02,5.99,3.71
0.81,0,5,4,66.5,53.0,2297,5.76,5.83,3.86
1.31,2,3,7,60.3,56.0,13168,7.09,7.15,4.29
1.58,3,2,2,61.4,61.0,12512,7.48,7.45,4.58
1.23,2,4,2,61.0,56.0,6439,6.96,6.92,4.23
2.01,3,6,5,58.6,61.0,10401,8.18,8.14,4.78
0.41,1,1,6,60.4,61.0,1169,4.76,4.81,2.89
0.52,2,2,4,61.3,56.0,2123,5.19,5.22,3.19
0.55,2,4,7,60.7,55.0,1668,5.32,5.34,3.24
1.05,3,1,2,61.2,58.0,5433,6.57,6.53,4.01
1.06,4,3,0,60.7,63.0,2080,6.59,6.56,3.99
1.0,3,4,2,62.7,60.0,4469,6.3,6.24,3.93
1.0,2,5,2,62.8,56.0,4237,6.33,6.38,3.99
0.34,3,2,5,59.2,60.0,686,4.56,4.6,2.71
1.54,2,5,3,62.0,59.0,8254,7.33,7.38,4.56
1.47,4,3,5,62.7,56.0,11060,7.15,7.18,4.49
0.55,2,1,2,61.4,55.0,1668,5.29,5.26,3.24
1.08,2,3,5,62.3,54.0,7187,6.59,6.61,4.11
